GENE,Gt_node,Lt_node,Lt_paralog
0001,'14_0_0','14_0',0
0001,'4_0_0','4_0',0
0001,2,12,0
0001,'4_2_0','4_2',2
0001,'14_2_0','14_2',2
0001,'14_4_0','14_4',4
0001,6,16,2
0001,'14_3_0','14_3',3
0001,8,18,2
0001,9,19,2
0001,10,20,0
0001,'6_5_0','6_5',5
0001,'15_5_0','15_5',5
0001,'5_5_0','5_5',5
0001,14,29,5
0001,15,30,5
0001,16,32,0
0001,'1_0_0','1_0',0
0001,'9_0_0','9_0',0
0001,19,2,0
0001,'9_1_0','9_1',1
0001,'1_1_0','1_1',1
0001,22,5,1
0001,23,6,0
0001,24,32,0
0002,'4_0_0','4_0',0
0002,'14_0_0','14_0',0
0002,2,6,0
0002,'2_0_0','2_0',0
0002,'12_0_0','12_0',0
0002,5,3,0
0002,6,7,0
0002,'11_13_0','11_13',13
0002,'11_0_0','11_0',0
0002,9,21,0
0002,10,31,0
0002,'19_0_0','19_0',0
0002,'18_0_0','18_0',0
0002,13,25,0
0002,'16_0_0','16_0',0
0002,'20_0_0','20_0',0
0002,16,28,0
0002,17,29,0
0002,'10_0_0','10_0',0
0002,'22_0_0','22_0',0
0002,'8_0_0','8_0',0
0002,21,14,0
0002,'8_12_0','8_12',12
0002,'22_12_0','22_12',12
0002,24,13,12
0002,25,16,0
0002,26,18,0
0002,27,30,0
0002,28,31,0
0002,'17_1_0','17_1',1
0002,'21_1_0','21_1',1
0002,'7_1_0','7_1',1
0002,32,128,1
0002,'21_17_0','21_17',17
0002,'7_17_0','7_17',17
0002,35,131,17
0002,36,132,1
0002,'21_16_0','21_16',16
0002,'7_16_0','7_16',16
0002,39,135,16
0002,40,136,1
0002,41,138,1
0002,'2_5_0','2_5',5
0002,'12_5_0','12_5',5
0002,44,55,5
0002,'2_6_0','2_6',6
0002,'12_6_0','12_6',6
0002,47,58,6
0002,48,59,5
0002,'4_1_0','4_1',1
0002,'14_1_0','14_1',1
0002,51,63,1
0002,52,64,1
0002,'10_9_0','10_9',9
0002,'8_9_0','8_9',9
0002,'22_9_0','22_9',9
0002,56,97,9
0002,'3_9_0','3_9',9
0002,58,97,9
0002,59,99,9
0002,'10_11_0','10_11',11
0002,61,103,9
0002,'10_4_0','10_4',4
0002,'8_4_0','8_4',4
0002,'22_4_0','22_4',4
0002,65,80,4
0002,'3_4_0','3_4',4
0002,67,82,4
0002,68,84,4
0002,'3_10_0','3_10',10
0002,'22_10_0','22_10',10
0002,'8_10_0','8_10',10
0002,72,89,10
0002,73,89,10
0002,'10_10_0','10_10',10
0002,75,91,10
0002,76,92,4
0002,'11_4_0','11_4',4
0002,'11_14_0','11_14',14
0002,79,107,4
0002,80,110,4
0002,81,110,4
0002,'12_4_0','12_4',4
0002,'2_4_0','2_4',4
0002,84,69,4
0002,'14_4_0','14_4',4
0002,'14_8_0','14_8',8
0002,87,75,4
0002,'4_4_0','4_4',4
0002,'4_7_0','4_7',7
0002,90,72,4
0002,91,76,4
0002,92,77,4
0002,93,111,4
0002,94,112,1
0002,'9_3_0','9_3',3
0002,'1_3_0','1_3',3
0002,97,47,3
0002,'1_2_0','1_2',2
0002,'9_2_0','9_2',2
0002,100,42,2
0002,'13_2_0','13_2',2
0002,102,44,2
0002,103,50,2
0002,104,113,1
0002,'5_15_0','5_15',15
0002,'6_15_0','6_15',15
0002,'15_15_0','15_15',15
0002,108,123,15
0002,109,123,15
0002,'15_1_0','15_1',1
0002,'6_1_0','6_1',1
0002,112,118,1
0002,'5_1_0','5_1',1
0002,114,118,1
