GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'5_0',0,Leaf,'5'
0001,'Lost-13_0',0,Loss,13
0001,2,0,Sp,14
0001,'Lost-15_0',0,Loss,15
0001,'9_0',0,Leaf,'9'
0001,'9_6',6,Leaf,'9'
0001,6,0,Dup,'9'
0001,'9_5',5,Leaf,'9'
0001,8,0,Dup,'9'
0001,9,0,Sp,17
0001,'7_0',0,Leaf,'7'
0001,'Lost-18_8',8,Loss,18
0001,12,0,Dup,'7'
0001,'7_7',7,Leaf,'7'
0001,14,0,Dup,'7'
0001,15,0,Sp,19
0001,16,0,Sp,20
0001,'5_1',1,Leaf,'5'
0001,'5_3',3,Leaf,'5'
0001,19,1,Dup,'5'
0001,'4_1',1,Leaf,'4'
0001,'3_1',1,Leaf,'3'
0001,22,1,Sp,3
0001,'1_1',1,Leaf,'1'
0001,24,1,Sp,5
0001,'10_1',1,Leaf,'10'
0001,26,1,Sp,7
0001,'Lost-12_1',1,Loss,12
0001,28,1,Sp,13
0001,29,1,Sp,14
0001,'6_1',1,Leaf,'6'
0001,'9_1',1,Leaf,'9'
0001,32,1,Sp,17
0001,'7_1',1,Leaf,'7'
0001,'Lost-18_10',10,Loss,18
0001,35,1,Dup,'7'
0001,'7_9',9,Leaf,'7'
0001,37,1,Dup,'7'
0001,38,1,Sp,19
0001,39,1,Sp,20
0001,'5_2',2,Leaf,'5'
0001,'4_2',2,Leaf,'4'
0001,'3_2',2,Leaf,'3'
0001,43,2,Sp,3
0001,'1_2',2,Leaf,'1'
0001,45,2,Sp,5
0001,'10_2',2,Leaf,'10'
0001,47,2,Sp,7
0001,'8_2',2,Leaf,'8'
0001,'11_2',2,Leaf,'11'
0001,50,2,Sp,10
0001,'2_2',2,Leaf,'2'
0001,52,2,Sp,12
0001,'Lost-10_4',4,Loss,10
0001,'2_4',4,Leaf,'2'
0001,55,4,Sp,12
0001,56,2,Dup,12
0001,57,2,Sp,13
0001,58,2,Sp,14
0001,'Lost-15_2',2,Loss,15
0001,'9_2',2,Leaf,'9'
0001,61,2,Sp,17
0001,'Lost-18_2',2,Loss,18
0001,63,2,Sp,19
0001,64,2,Sp,20
0001,65,1,Dup,20
0001,66,0,Dup,20
0001,'Lost-47_0',0,Loss,47
0001,68,0,Sp,48
0002,'5_0',0,Leaf,'5'
0002,'Lost-13_0',0,Loss,13
0002,2,0,Sp,14
0002,'6_0',0,Leaf,'6'
0002,'9_0',0,Leaf,'9'
0002,5,0,Sp,17
0002,'7_0',0,Leaf,'7'
0002,7,0,Sp,19
0002,8,0,Sp,20
0002,'5_4',4,Leaf,'5'
0002,'5_8',8,Leaf,'5'
0002,11,4,Dup,'5'
0002,'4_4',4,Leaf,'4'
0002,'3_4',4,Leaf,'3'
0002,14,4,Sp,3
0002,'1_4',4,Leaf,'1'
0002,16,4,Sp,5
0002,'10_4',4,Leaf,'10'
0002,18,4,Sp,7
0002,'8_4',4,Leaf,'8'
0002,'11_4',4,Leaf,'11'
0002,21,4,Sp,10
0002,'2_4',4,Leaf,'2'
0002,23,4,Sp,12
0002,24,4,Sp,13
0002,25,4,Sp,14
0002,'6_4',4,Leaf,'6'
0002,'Lost-16_4',4,Loss,16
0002,'9_14',14,Leaf,'9'
0002,29,4,Dup,'9'
0002,30,4,Sp,17
0002,'7_4',4,Leaf,'7'
0002,32,4,Sp,19
0002,33,4,Sp,20
0002,34,0,Dup,20
0002,'5_2',2,Leaf,'5'
0002,'5_6',6,Leaf,'5'
0002,37,2,Dup,'5'
0002,'Lost-13_2',2,Loss,13
0002,39,2,Sp,14
0002,'Lost-15_2',2,Loss,15
0002,'9_2',2,Leaf,'9'
0002,42,2,Sp,17
0002,'6_12',12,Leaf,'6'
0002,'9_12',12,Leaf,'9'
0002,45,12,Sp,17
0002,46,2,Dup,17
0002,'7_2',2,Leaf,'7'
0002,'7_15',15,Leaf,'7'
0002,49,2,Dup,'7'
0002,50,2,Sp,19
0002,51,2,Sp,20
0002,52,0,Dup,20
0002,'5_1',1,Leaf,'5'
0002,'Lost-0_5',5,Loss,0
0002,55,1,Dup,'5'
0002,'Lost-1_1',1,Loss,1
0002,'3_1',1,Leaf,'3'
0002,58,1,Sp,3
0002,'1_1',1,Leaf,'1'
0002,60,1,Sp,5
0002,'10_1',1,Leaf,'10'
0002,62,1,Sp,7
0002,'8_1',1,Leaf,'8'
0002,'11_1',1,Leaf,'11'
0002,65,1,Sp,10
0002,'8_10',10,Leaf,'8'
0002,'11_10',10,Leaf,'11'
0002,68,10,Sp,10
0002,69,1,Dup,10
0002,'2_1',1,Leaf,'2'
0002,71,1,Sp,12
0002,72,1,Sp,13
0002,73,1,Sp,14
0002,'Lost-15_1',1,Loss,15
0002,'9_1',1,Leaf,'9'
0002,'Lost-16_13',13,Loss,16
