GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'Lost-0_0',0,Loss,0
0001,'12_0',0,Leaf,'12'
0001,2,0,Sp,2
0001,'2_0',0,Leaf,'2'
0001,'10_0',0,Leaf,'10'
0001,5,0,Sp,5
0001,6,0,Sp,6
0001,'4_0',0,Leaf,'4'
0001,'1_0',0,Leaf,'1'
0001,9,0,Sp,9
0001,'6_0',0,Leaf,'6'
0001,11,0,Sp,11
0001,'9_0',0,Leaf,'9'
0001,13,0,Sp,13
0001,14,0,Sp,14
0001,'13_0',0,Leaf,'13'
0001,'3_0',0,Leaf,'3'
0001,17,0,Sp,17
0001,'7_0',0,Leaf,'7'
0001,'8_0',0,Leaf,'8'
0001,20,0,Sp,20
0001,21,0,Sp,21
0001,'11_0',0,Leaf,'11'
0001,23,0,Sp,23
0001,24,0,Sp,24
0001,'Lost-31_0',0,Loss,31
0001,'20_1',1,Leaf,'20'
0001,'20_2',2,Leaf,'20'
0001,28,1,Dup,'20'
0001,'23_1',1,Leaf,'23'
0001,'18_1',1,Leaf,'18'
0001,31,1,Sp,28
0001,32,1,Sp,29
0001,'22_1',1,Leaf,'22'
0001,34,1,Sp,31
0001,35,0,Dup,31
0001,'Lost-46_0',0,Loss,46
0001,37,0,Sp,47
0001,38,0,Sp,48
0002,'Lost-24_0',0,Loss,24
0002,'20_0',0,Leaf,'20'
0002,'23_0',0,Leaf,'23'
0002,'18_0',0,Leaf,'18'
0002,4,0,Sp,28
0002,5,0,Sp,29
0002,'22_0',0,Leaf,'22'
0002,7,0,Sp,31
0002,'Lost-46_0',0,Loss,46
0002,9,0,Sp,47
0002,10,0,Sp,48
0003,'5_0',0,Leaf,'5'
0003,'Lost-1_0',0,Loss,1
0003,2,0,Sp,2
0003,'2_0',0,Leaf,'2'
0003,'10_0',0,Leaf,'10'
0003,5,0,Sp,5
0003,'2_1',1,Leaf,'2'
0003,'10_1',1,Leaf,'10'
0003,8,1,Sp,5
0003,9,0,Dup,5
0003,10,0,Sp,6
0003,'4_0',0,Leaf,'4'
0003,'1_0',0,Leaf,'1'
0003,13,0,Sp,9
0003,'6_0',0,Leaf,'6'
0003,15,0,Sp,11
0003,'9_0',0,Leaf,'9'
0003,17,0,Sp,13
0003,'4_2',2,Leaf,'4'
0003,'1_2',2,Leaf,'1'
0003,20,2,Sp,9
0003,'6_2',2,Leaf,'6'
0003,22,2,Sp,11
0003,'9_2',2,Leaf,'9'
0003,24,2,Sp,13
0003,25,0,Dup,13
0003,26,0,Sp,14
0003,'13_0',0,Leaf,'13'
0003,'3_0',0,Leaf,'3'
0003,29,0,Sp,17
0003,'7_0',0,Leaf,'7'
0003,'8_0',0,Leaf,'8'
0003,32,0,Sp,20
0003,33,0,Sp,21
0003,'Lost-22_0',0,Loss,22
0003,35,0,Sp,23
0003,36,0,Sp,24
0003,'20_0',0,Leaf,'20'
0003,'23_0',0,Leaf,'23'
0003,'18_0',0,Leaf,'18'
0003,40,0,Sp,28
0003,41,0,Sp,29
0003,'22_0',0,Leaf,'22'
0003,43,0,Sp,31
0003,'Lost-46_0',0,Loss,46
0003,45,0,Sp,47
0003,46,0,Sp,48
0004,'Lost-24_0',0,Loss,24
0004,'Lost-29_0',0,Loss,29
0004,'22_0',0,Leaf,'22'
0004,3,0,Sp,31
0004,'Lost-46_0',0,Loss,46
0004,'Lost-38_2',2,Loss,38
0004,'17_2',2,Leaf,'17'
0004,'19_2',2,Leaf,'19'
0004,8,2,Sp,41
0004,'14_2',2,Leaf,'14'
0004,'14_7',7,Leaf,'14'
0004,11,2,Dup,'14'
0004,12,2,Sp,43
0004,'Lost-43_6',6,Loss,43
0004,14,2,Dup,43
0004,'21_2',2,Leaf,'21'
0004,'21_12',12,Leaf,'21'
0004,17,2,Dup,'21'
0004,'Lost-44_8',8,Loss,44
0004,'21_9',9,Leaf,'21'
0004,'21_11',11,Leaf,'21'
0004,21,9,Dup,'21'
