GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'15_0',0,Leaf,'15'
0001,'6_0',0,Leaf,'6'
0001,2,0,Sp,2
0001,'7_0',0,Leaf,'7'
0001,4,0,Sp,4
0001,'13_0',0,Leaf,'13'
0001,6,0,Sp,6
0001,'16_0',0,Leaf,'16'
0001,'18_0',0,Leaf,'18'
0001,'11_0',0,Leaf,'11'
0001,'1_0',0,Leaf,'1'
0001,'12_0',0,Leaf,'12'
0001,12,0,Sp,12
0001,13,0,Sp,13
0001,14,0,Sp,14
0001,'20_0',0,Leaf,'20'
0001,16,0,Sp,16
0001,'19_0',0,Leaf,'19'
0001,'10_0',0,Leaf,'10'
0001,'2_0',0,Leaf,'2'
0001,20,0,Sp,20
0001,21,0,Sp,21
0001,'5_0',0,Leaf,'5'
0001,23,0,Sp,23
0001,24,0,Sp,24
0001,25,0,Sp,25
0001,26,0,Sp,26
0001,'21_0',0,Leaf,'21'
0001,'Lost-28_0',0,Loss,28
0001,'9_0',0,Leaf,'9'
0001,30,0,Sp,30
0001,31,0,Sp,31
0001,'22_0',0,Leaf,'22'
0001,'4_0',0,Leaf,'4'
0001,34,0,Sp,34
0001,35,0,Sp,35
0001,'Lost-31_1',1,Loss,31
0001,'22_1',1,Leaf,'22'
0001,'4_1',1,Leaf,'4'
0001,39,1,Sp,34
0001,40,1,Sp,35
0001,41,0,Dup,35
0001,42,0,Sp,36
0001,'3_0',0,Leaf,'3'
0001,44,0,Sp,38
0001,'Lost-39_0',0,Loss,39
0001,'14_0',0,Leaf,'14'
0001,47,0,Sp,41
0001,48,0,Sp,42
0001,'Lost-47_0',0,Loss,47
0001,50,0,Sp,48
0002,'Lost-4_0',0,Loss,4
0002,'Lost-5_0',0,Loss,5
0002,2,0,Sp,6
0002,'15_2',2,Leaf,'15'
0002,'6_2',2,Leaf,'6'
0002,5,2,Sp,2
0002,'7_2',2,Leaf,'7'
0002,7,2,Sp,4
0002,'15_3',3,Leaf,'15'
0002,'6_3',3,Leaf,'6'
0002,10,3,Sp,2
0002,'7_3',3,Leaf,'7'
0002,12,3,Sp,4
0002,13,2,Dup,4
0002,'13_2',2,Leaf,'13'
0002,15,2,Sp,6
0002,16,0,Dup,6
0002,'16_0',0,Leaf,'16'
0002,'Lost-7_4',4,Loss,7
0002,19,0,Dup,'16'
0002,'Lost-24_0',0,Loss,24
0002,21,0,Sp,25
0002,22,0,Sp,26
0002,'Lost-35_0',0,Loss,35
0002,24,0,Sp,36
0002,'Lost-36_1',1,Loss,36
0002,26,0,Dup,36
0002,'Lost-37_0',0,Loss,37
0002,28,0,Sp,38
0002,'Lost-41_0',0,Loss,41
0002,30,0,Sp,42
0002,'Lost-47_0',0,Loss,47
0002,32,0,Sp,48
0003,'Lost-42_0',0,Loss,42
0003,'Lost-47_0',0,Loss,47
0003,'23_1',1,Leaf,'23'
0003,'Lost-44_1',1,Loss,44
0003,'24_1',1,Leaf,'24'
0003,5,1,Sp,46
0003,6,1,Sp,47
0003,7,0,Dup,47
0003,8,0,Sp,48
0004,'15_0',0,Leaf,'15'
0004,'6_0',0,Leaf,'6'
0004,2,0,Sp,2
0004,'7_0',0,Leaf,'7'
0004,4,0,Sp,4
0004,'15_1',1,Leaf,'15'
0004,'6_1',1,Leaf,'6'
0004,7,1,Sp,2
0004,'7_1',1,Leaf,'7'
0004,9,1,Sp,4
0004,'15_3',3,Leaf,'15'
0004,'6_3',3,Leaf,'6'
0004,12,3,Sp,2
0004,'7_3',3,Leaf,'7'
0004,14,3,Sp,4
0004,15,1,Dup,4
0004,'15_2',2,Leaf,'15'
0004,'15_4',4,Leaf,'15'
0004,18,2,Dup,'15'
0004,'6_2',2,Leaf,'6'
0004,20,2,Sp,2
0004,'7_2',2,Leaf,'7'
0004,22,2,Sp,4
0004,23,1,Dup,4
0004,24,0,Dup,4
0004,'Lost-5_0',0,Loss,5
0004,26,0,Sp,6
0004,'16_0',0,Leaf,'16'
0004,'Lost-7_5',5,Loss,7
0004,29,0,Dup,'16'
0004,'18_0',0,Leaf,'18'
0004,'18_7',7,Leaf,'18'
0004,32,0,Dup,'18'
0004,'18_6',6,Leaf,'18'
0004,34,0,Dup,'18'
0004,'11_0',0,Leaf,'11'
0004,'1_0',0,Leaf,'1'
0004,'Lost-11_0',0,Loss,11
0004,38,0,Sp,12
0004,39,0,Sp,13
0004,40,0,Sp,14
0004,'20_0',0,Leaf,'20'
0004,42,0,Sp,16
0004,'Lost-23_0',0,Loss,23
0004,44,0,Sp,24
0004,45,0,Sp,25
0004,46,0,Sp,26
0004,'Lost-35_0',0,Loss,35
0004,48,0,Sp,36
0004,'3_0',0,Leaf,'3'
0004,50,0,Sp,38
0004,'17_0',0,Leaf,'17'
0004,'14_0',0,Leaf,'14'
0004,53,0,Sp,41
0004,'Lost-41_8',8,Loss,41
0004,55,0,Dup,41
0004,56,0,Sp,42
0004,'23_0',0,Leaf,'23'
0004,'25_0',0,Leaf,'25'
0004,'24_0',0,Leaf,'24'
0004,60,0,Sp,46
0004,61,0,Sp,47
0004,62,0,Sp,48
0005,'15_0',0,Leaf,'15'
0005,'6_0',0,Leaf,'6'
0005,2,0,Sp,2
0005,'7_0',0,Leaf,'7'
0005,4,0,Sp,4
0005,'13_0',0,Leaf,'13'
0005,6,0,Sp,6
0005,'16_0',0,Leaf,'16'
0005,'18_0',0,Leaf,'18'
0005,'11_0',0,Leaf,'11'
0005,'1_0',0,Leaf,'1'
0005,'12_0',0,Leaf,'12'
0005,12,0,Sp,12
0005,13,0,Sp,13
0005,14,0,Sp,14
0005,'Lost-15_0',0,Loss,15
0005,16,0,Sp,16
0005,'Lost-21_0',0,Loss,21
0005,'Lost-22_0',0,Loss,22
0005,19,0,Sp,23
0005,20,0,Sp,24
0005,21,0,Sp,25
0005,22,0,Sp,26
0005,'21_0',0,Leaf,'21'
0005,'8_0',0,Leaf,'8'
0005,'9_0',0,Leaf,'9'
0005,26,0,Sp,30
0005,27,0,Sp,31
0005,'22_0',0,Leaf,'22'
0005,'4_0',0,Leaf,'4'
0005,30,0,Sp,34
0005,31,0,Sp,35
0005,'Lost-35_1',1,Loss,35
0005,33,0,Dup,35
0005,34,0,Sp,36
0005,'3_0',0,Leaf,'3'
0005,'3_2',2,Leaf,'3'
0005,37,0,Dup,'3'
0005,38,0,Sp,38
0005,'Lost-39_0',0,Loss,39
0005,'14_0',0,Leaf,'14'
0005,41,0,Sp,41
0005,'17_3',3,Leaf,'17'
0005,'14_3',3,Leaf,'14'
0005,44,3,Sp,41
0005,45,0,Dup,41
0005,46,0,Sp,42
0005,'23_0',0,Leaf,'23'
0005,'25_0',0,Leaf,'25'
0005,'24_0',0,Leaf,'24'
0005,50,0,Sp,46
0005,51,0,Sp,47
0005,'23_4',4,Leaf,'23'
0005,'25_4',4,Leaf,'25'
0005,'24_4',4,Leaf,'24'
0005,55,4,Sp,46
0005,56,4,Sp,47
0005,57,0,Dup,47
0005,58,0,Sp,48
0006,'Lost-4_0',0,Loss,4
0006,'15_2',2,Leaf,'15'
0006,'6_2',2,Leaf,'6'
0006,3,2,Sp,2
0006,'7_2',2,Leaf,'7'
0006,5,2,Sp,4
0006,6,0,Dup,4
0006,'13_0',0,Leaf,'13'
0006,8,0,Sp,6
0006,'15_1',1,Leaf,'15'
0006,'6_1',1,Leaf,'6'
0006,11,1,Sp,2
0006,'7_1',1,Leaf,'7'
0006,13,1,Sp,4
0006,'13_1',1,Leaf,'13'
0006,15,1,Sp,6
0006,16,0,Dup,6
0006,'16_0',0,Leaf,'16'
0006,'18_0',0,Leaf,'18'
0006,'Lost-9_0',0,Loss,9
0006,'Lost-12_0',0,Loss,12
0006,21,0,Sp,13
0006,22,0,Sp,14
0006,'20_0',0,Leaf,'20'
0006,24,0,Sp,16
0006,'19_0',0,Leaf,'19'
0006,'10_0',0,Leaf,'10'
0006,'2_0',0,Leaf,'2'
0006,28,0,Sp,20
0006,29,0,Sp,21
0006,'5_0',0,Leaf,'5'
0006,31,0,Sp,23
0006,32,0,Sp,24
0006,33,0,Sp,25
