GENE,Gt_node,Lt_node,Lt_paralog
0001,'14_0_0','14_0',0
0001,'16_0_0','16_0',0
0001,'20_0_0','20_0',0
0001,'5_0_0','5_0',0
0001,'19_0_0','19_0',0
0001,'2_0_0','2_0',0
0001,6,21,0
0001,'10_0_0','10_0',0
0001,8,21,0
0001,9,23,0
0001,10,24,0
0001,'12_0_0','12_0',0
0001,'1_0_0','1_0',0
0001,13,12,0
0001,'11_0_0','11_0',0
0001,15,14,0
0001,'18_0_0','18_0',0
0001,17,14,0
0001,18,24,0
0001,19,25,0
0001,'6_0_0','6_0',0
0001,'15_0_0','15_0',0
0001,22,4,0
0001,'7_0_0','7_0',0
0001,24,4,0
0001,'13_0_0','13_0',0
0001,26,6,0
0001,27,26,0
0001,'21_0_0','21_0',0
0001,'9_0_0','9_0',0
0001,30,31,0
0001,'22_0_0','22_0',0
0001,'4_0_0','4_0',0
0001,33,34,0
0001,34,35,0
0001,'4_1_0','4_1',1
0001,'22_1_0','22_1',1
0001,37,39,1
0001,38,41,0
0001,39,42,0
0001,40,48,0
0001,'3_0_0','3_0',0
0001,42,48,0
0002,'16_0_0','16_0',0
0002,'7_2_0','7_2',2
0002,'6_2_0','6_2',2
0002,'15_2_0','15_2',2
0002,4,5,2
0002,5,7,2
0002,'6_3_0','6_3',3
0002,'7_3_0','7_3',3
0002,8,12,3
0002,'15_3_0','15_3',3
0002,10,12,3
0002,11,13,2
0002,'13_2_0','13_2',2
0002,13,15,2
0002,14,22,0
0003,'24_1_0','24_1',1
0003,'23_1_0','23_1',1
0003,2,6,1
0004,'14_0_0','14_0',0
0004,'17_0_0','17_0',0
0004,2,53,0
0004,'15_3_0','15_3',3
0004,'7_3_0','7_3',3
0004,5,14,3
0004,'6_3_0','6_3',3
0004,7,14,3
0004,'7_2_0','7_2',2
0004,'6_2_0','6_2',2
0004,'15_2_0','15_2',2
0004,11,20,2
0004,'15_4_0','15_4',4
0004,13,20,2
0004,14,22,2
0004,15,23,1
0004,'7_1_0','7_1',1
0004,'15_1_0','15_1',1
0004,'6_1_0','6_1',1
0004,19,7,1
0004,20,9,1
0004,21,23,1
0004,'7_0_0','7_0',0
0004,'15_0_0','15_0',0
0004,'6_0_0','6_0',0
0004,25,2,0
0004,26,4,0
0004,27,26,0
0004,'1_0_0','1_0',0
0004,'11_0_0','11_0',0
0004,30,40,0
0004,'18_6_0','18_6',6
0004,'18_0_0','18_0',0
0004,'18_7_0','18_7',7
0004,34,34,0
0004,35,34,0
0004,36,40,0
0004,'20_0_0','20_0',0
0004,38,42,0
0004,'16_0_0','16_0',0
0004,40,45,0
0004,41,46,0
0004,'3_0_0','3_0',0
0004,43,50,0
0004,44,56,0
0004,'23_0_0','23_0',0
0004,'24_0_0','24_0',0
0004,'25_0_0','25_0',0
0004,48,61,0
0004,49,61,0
0004,50,62,0
0005,'24_4_0','24_4',4
0005,'25_4_0','25_4',4
0005,2,55,4
0005,'23_4_0','23_4',4
0005,4,56,4
0005,'25_0_0','25_0',0
0005,6,57,0
0005,'24_0_0','24_0',0
0005,'23_0_0','23_0',0
0005,9,51,0
0005,10,57,0
0005,'3_2_0','3_2',2
0005,'3_0_0','3_0',0
0005,13,37,0
0005,'13_0_0','13_0',0
0005,'18_0_0','18_0',0
0005,'11_0_0','11_0',0
0005,17,14,0
0005,'1_0_0','1_0',0
0005,'12_0_0','12_0',0
0005,20,12,0
0005,21,14,0
0005,'16_0_0','16_0',0
0005,'6_0_0','6_0',0
0005,'15_0_0','15_0',0
0005,25,2,0
0005,'7_0_0','7_0',0
0005,27,4,0
0005,28,22,0
0005,29,22,0
0005,30,22,0
0005,'9_0_0','9_0',0
0005,'21_0_0','21_0',0
0005,'8_0_0','8_0',0
0005,34,27,0
0005,35,27,0
0005,'22_0_0','22_0',0
0005,'4_0_0','4_0',0
0005,38,30,0
0005,39,31,0
0005,40,34,0
0005,41,38,0
0005,'14_3_0','14_3',3
0005,'17_3_0','17_3',3
0005,44,44,3
0005,'14_0_0','14_0',0
0005,46,45,0
0005,47,46,0
0005,48,58,0
0006,'14_4_0','14_4',4
0006,'14_0_0','14_0',0
0006,2,44,0
0006,'17_0_0','17_0',0
0006,4,45,0
0006,'3_3_0','3_3',3
0006,'3_0_0','3_0',0
0006,7,39,0
0006,8,46,0
0006,'7_2_0','7_2',2
0006,'15_2_0','15_2',2
0006,'6_2_0','6_2',2
0006,12,3,2
0006,13,5,2
0006,'13_1_0','13_1',1
0006,'6_1_0','6_1',1
