GENE,Gt_node,Lt_node,Lt_paralog
0001,'11_0_0','11_0',0
0001,'6_0_0','6_0',0
0001,2,3,0
0002,'13_11_0','13_11',11
0002,'13_0_0','13_0',0
0002,2,62,0
0002,'3_0_0','3_0',0
0002,4,63,0
0002,'8_0_0','8_0',0
0002,'16_0_0','16_0',0
0002,'1_0_0','1_0',0
0002,8,31,0
0002,'9_0_0','9_0',0
0002,10,32,0
0002,11,33,0
0002,'10_5_0','10_5',5
0002,'10_0_0','10_0',0
0002,14,22,0
0002,'8_8_0','8_8',8
0002,'19_8_0','19_8',8
0002,'4_8_0','4_8',8
0002,18,44,8
0002,19,45,8
0002,'19_4_0','19_4',4
0002,'4_4_0','4_4',4
0002,22,39,4
0002,'9_4_0','9_4',4
0002,'16_4_0','16_4',4
0002,'1_4_0','1_4',4
0002,26,50,4
0002,27,51,4
0002,28,52,4
0002,29,52,4
0002,30,54,0
0002,'4_0_0','4_0',0
0002,'19_0_0','19_0',0
0002,33,26,0
0002,34,54,0
0002,35,54,0
0002,'23_0_0','23_0',0
0002,'17_0_0','17_0',0
0002,38,2,0
0002,'15_0_0','15_0',0
0002,'2_0_0','2_0',0
0002,41,17,0
0002,'12_2_0','12_2',2
0002,'5_2_0','5_2',2
0002,'14_2_0','14_2',2
0002,45,10,2
0002,46,10,2
0002,47,17,0
0002,48,56,0
0002,49,56,0
0002,50,64,0
0002,'11_0_0','11_0',0
0002,'6_0_0','6_0',0
0002,53,67,0
0002,'6_12_0','6_12',12
0002,'11_12_0','11_12',12
0002,56,70,12
0002,57,71,0
0002,58,72,0
0002,'6_13_0','6_13',13
0002,'11_13_0','11_13',13
0002,61,119,13
0002,'6_1_0','6_1',1
0002,'11_1_0','11_1',1
0002,64,116,1
0002,65,120,1
0002,'23_1_0','23_1',1
0002,'17_1_0','17_1',1
0002,68,75,1
0002,'22_10_0','22_10',10
0002,'22_9_0','22_9',9
0002,71,107,9
0002,'22_1_0','22_1',1
0002,73,108,1
0002,'7_1_0','7_1',1
0002,'7_3_0','7_3',3
0002,76,85,1
0002,'5_1_0','5_1',1
0002,'14_1_0','14_1',1
0002,79,82,1
0002,'12_1_0','12_1',1
0002,81,82,1
0002,'15_1_0','15_1',1
0002,'2_1_0','2_1',1
0002,84,89,1
0002,85,90,1
0002,86,90,1
0002,'10_7_0','10_7',7
0002,'10_1_0','10_1',1
0002,89,93,1
0002,'9_1_0','9_1',1
0002,'16_1_0','16_1',1
0002,'1_1_0','1_1',1
0002,93,98,1
0002,94,99,1
0002,95,101,1
0002,96,103,1
0002,97,109,1
0002,98,109,1
0002,'3_1_0','3_1',1
0002,'13_1_0','13_1',1
0002,101,112,1
0002,102,113,1
0002,103,121,1
0002,104,122,0
0003,'22_0_0','22_0',0
0003,'9_0_0','9_0',0
0003,'16_0_0','16_0',0
0003,'1_0_0','1_0',0
0003,4,43,0
0003,5,44,0
0003,'10_0_0','10_0',0
0003,7,46,0
0003,'15_0_0','15_0',0
0003,'2_0_0','2_0',0
0003,10,36,0
0003,'7_0_0','7_0',0
0003,'5_0_0','5_0',0
0003,'14_6_0','14_6',6
0003,'12_6_0','12_6',6
0003,15,30,6
0003,'5_6_0','5_6',6
0003,17,30,6
0003,'14_0_0','14_0',0
0003,'12_0_0','12_0',0
0003,20,25,0
0003,21,31,0
0003,22,31,0
0003,23,33,0
0003,24,37,0
0003,'23_3_0','23_3',3
0003,'23_4_0','23_4',4
0003,'23_5_0','23_5',5
0003,28,8,4
0003,29,9,3
0003,'23_2_0','23_2',2
0003,31,10,2
0003,'17_2_0','17_2',2
0003,33,12,2
0003,'17_1_0','17_1',1
0003,'23_1_0','23_1',1
0003,36,3,1
0003,37,13,1
0003,'21_0_0','21_0',0
0003,'20_0_0','20_0',0
0003,40,17,0
0003,41,20,0
0003,42,48,0
0003,43,48,0
0003,44,52,0
0003,'25_0_0','25_0',0
0003,'24_0_0','24_0',0
0003,47,61,0
0003,'25_7_0','25_7',7
0003,'24_7_0','24_7',7
0003,50,60,7
0003,51,61,0
0003,52,62,0
0004,'24_0_0','24_0',0
0004,'25_0_0','25_0',0
0004,2,45,0
0004,'15_0_0','15_0',0
0004,'2_0_0','2_0',0
0004,5,20,0
0004,'14_0_0','14_0',0
0004,'5_0_0','5_0',0
0004,8,15,0
0004,'12_0_0','12_0',0
0004,10,15,0
0004,11,21,0
0004,'10_0_0','10_0',0
0004,'4_0_0','4_0',0
0004,'19_0_0','19_0',0
0004,15,26,0
0004,'16_0_0','16_0',0
0004,'1_0_0','1_0',0
0004,18,31,0
0004,'9_0_0','9_0',0
0004,20,32,0
0004,21,33,0
0004,'8_0_0','8_0',0
0004,23,34,0
0004,24,34,0
0004,25,35,0
0004,'22_0_0','22_0',0
0004,27,38,0
0004,'18_1_0','18_1',1
0004,'18_2_0','18_2',2
0004,'18_0_0','18_0',0
0004,31,6,0
0004,32,9,0
0004,'21_0_0','21_0',0
0004,'20_0_0','20_0',0
0004,35,3,0
0004,36,9,0
0004,37,38,0
0004,38,46,0
0005,'24_1_0','24_1',1
0005,'11_0_0','11_0',0
0005,2,10,0
0006,'3_0_0','3_0',0
0006,'13_0_0','13_0',0
0006,2,37,0
0006,'22_0_0','22_0',0
0006,'12_0_0','12_0',0
0006,'5_0_0','5_0',0
0006,6,9,0
0006,'14_0_0','14_0',0
0006,8,9,0
0006,'7_0_0','7_0',0
0006,10,11,0
0006,'15_0_0','15_0',0
0006,'2_0_0','2_0',0
0006,13,14,0
0006,14,15,0
0006,'1_0_0','1_0',0
0006,'16_0_0','16_0',0
0006,17,28,0
0006,'9_0_0','9_0',0
0006,19,28,0
0006,'19_0_0','19_0',0
0006,'4_0_0','4_0',0
0006,'4_2_0','4_2',2
0006,23,20,0
0006,24,22,0
0006,25,30,0
0006,'10_0_0','10_0',0
0006,27,30,0
0006,28,32,0
0006,29,34,0
0006,30,38,0
0007,'11_0_0','11_0',0
0007,'7_11_0','7_11',11
0007,'7_0_0','7_0',0
0007,3,12,0
0007,'15_0_0','15_0',0
0007,'2_0_0','2_0',0
0007,'15_12_0','15_12',12
0007,7,18,0
0007,8,19,0
0007,9,19,0
0007,'22_0_0','22_0',0
0007,11,60,0
0007,'13_0_0','13_0',0
0007,'3_0_0','3_0',0
0007,14,63,0
0007,15,64,0
0007,'20_0_0','20_0',0
