GENE,Gt_node,Lt_node,Lt_paralog
0001,'23_0_0','23_0',0
0001,'17_0_0','17_0',0
0001,2,14,0
0001,'23_3_0','23_3',3
0001,'17_3_0','17_3',3
0001,5,17,3
0001,6,18,0
0001,'23_2_0','23_2',2
0001,'17_2_0','17_2',2
0001,9,21,2
0001,10,22,0
0001,'16_0_0','16_0',0
0001,'13_0_0','13_0',0
0001,'13_1_0','13_1',1
0001,14,8,0
0001,15,10,0
0001,16,24,0
0001,'24_0_0','24_0',0
0001,'20_0_0','20_0',0
0001,19,32,0
0001,'18_0_0','18_0',0
0001,'14_0_0','14_0',0
0001,22,27,0
0001,23,33,0
0001,'24_4_0','24_4',4
0001,'18_4_0','18_4',4
0001,'14_4_0','14_4',4
0001,27,36,4
0001,28,40,4
0001,29,41,0
0001,30,42,0
0001,'1_0_0','1_0',0
0001,'2_0_0','2_0',0
0001,33,3,0
0001,'3_0_0','3_0',0
0001,35,4,0
0001,36,46,0
0002,'16_16_0','16_16',16
0002,'16_0_0','16_0',0
0002,2,73,0
0002,'13_0_0','13_0',0
0002,4,74,0
0002,'24_0_0','24_0',0
0002,'20_0_0','20_0',0
0002,7,80,0
0002,8,88,0
0002,'8_14_0','8_14',14
0002,'8_22_0','8_22',22
0002,11,114,14
0002,'14_14_0','14_14',14
0002,'18_14_0','18_14',14
0002,14,106,14
0002,'24_14_0','24_14',14
0002,'20_14_0','20_14',14
0002,17,109,14
0002,18,110,14
0002,'13_14_0','13_14',14
0002,'16_17_0','16_17',17
0002,21,93,14
0002,22,111,14
0002,'5_18_0','5_18',18
0002,'17_14_0','17_14',14
0002,'23_14_0','23_14',14
0002,26,101,14
0002,27,102,14
0002,28,111,14
0002,29,115,14
0002,30,116,0
0002,'8_21_0','8_21',21
0002,'8_0_0','8_0',0
0002,33,87,0
0002,34,116,0
0002,'24_20_0','24_20',20
0002,'24_13_0','24_13',13
0002,37,122,13
0002,'20_13_0','20_13',13
0002,39,123,13
0002,'8_13_0','8_13',13
0002,41,127,13
0002,42,128,0
0002,'4_2_0','4_2',2
0002,'7_11_0','7_11',11
0002,'7_2_0','7_2',2
0002,46,38,2
0002,47,39,2
0002,'7_12_0','7_12',12
0002,'4_10_0','4_10',10
0002,50,47,10
0002,'7_9_0','7_9',9
0002,'4_9_0','4_9',9
0002,53,42,9
0002,54,48,9
0002,55,49,2
0002,'11_2_0','11_2',2
0002,'9_2_0','9_2',2
0002,58,24,2
0002,'21_2_0','21_2',2
0002,60,26,2
0002,'25_2_0','25_2',2
0002,'25_6_0','25_6',6
0002,63,29,2
0002,64,32,2
0002,'6_2_0','6_2',2
0002,66,32,2
0002,'12_2_0','12_2',2
0002,'12_5_0','12_5',5
0002,69,20,2
0002,70,34,2
0002,71,50,2
0002,'6_3_0','6_3',3
0002,'21_3_0','21_3',3
0002,'11_3_0','11_3',3
0002,'9_3_0','9_3',3
0002,76,55,3
0002,77,57,3
0002,78,61,3
0002,79,66,2
0002,'6_0_0','6_0',0
0002,'6_8_0','6_8',8
0002,82,10,0
0002,'6_7_0','6_7',7
0002,84,12,0
0002,'12_0_0','12_0',0
0002,'12_4_0','12_4',4
0002,87,15,0
0002,88,15,0
0002,89,67,0
0002,90,129,0
0003,'8_0_0','8_0',0
0003,'16_0_0','16_0',0
0003,'16_2_0','16_2',2
0003,3,7,0
0003,'13_0_0','13_0',0
0003,5,8,0
0003,'23_3_0','23_3',3
0003,'17_3_0','17_3',3
0003,8,17,3
0003,'17_0_0','17_0',0
0003,'23_0_0','23_0',0
0003,11,14,0
0003,12,18,0
0003,'10_0_0','10_0',0
0003,'5_0_0','5_0',0
0003,15,11,0
0003,16,19,0
0003,17,22,0
0003,18,24,0
0004,'21_0_0','21_0',0
0004,'9_0_0','9_0',0
0004,'11_0_0','11_0',0
0004,3,15,0
0004,4,17,0
0004,'25_0_0','25_0',0
0004,6,21,0
0004,'19_0_0','19_0',0
0004,'22_1_0','22_1',1
0004,'15_0_0','15_0',0
0004,'22_0_0','22_0',0
0004,11,6,0
0004,12,10,0
0004,13,12,0
0004,14,23,0
0004,'3_0_0','3_0',0
0004,16,28,0
0005,'12_1_0','12_1',1
0005,'12_3_0','12_3',3
0005,2,44,1
0005,'19_1_0','19_1',1
0005,'15_1_0','15_1',1
0005,'22_1_0','22_1',1
0005,6,47,1
0005,7,49,1
0005,8,52,1
0005,'4_6_0','4_6',6
0005,'7_6_0','7_6',6
0005,11,58,6
0005,'7_1_0','7_1',1
0005,'4_1_0','4_1',1
0005,14,55,1
0005,15,59,1
0005,16,60,1
0005,'12_2_0','12_2',2
0005,'19_2_0','19_2',2
0005,'22_2_0','22_2',2
0005,20,21,2
0005,'9_2_0','9_2',2
0005,'11_2_0','11_2',2
0005,23,24,2
0005,'21_2_0','21_2',2
0005,25,26,2
0005,'25_2_0','25_2',2
0005,27,28,2
0005,'6_2_0','6_2',2
0005,29,30,2
0005,30,31,2
0005,31,32,2
0005,32,61,0
0005,'19_0_0','19_0',0
0005,'15_0_0','15_0',0
0005,35,6,0
0005,'6_4_0','6_4',4
0005,'6_0_0','6_0',0
0005,38,12,0
0005,39,14,0
0005,'7_5_0','7_5',5
0005,'4_5_0','4_5',5
0005,42,39,5
0005,'7_0_0','7_0',0
0005,44,40,0
0005,45,41,0
0005,46,61,0
0006,'1_0_0','1_0',0
0006,'2_0_0','2_0',0
0006,2,3,0
0007,'8_0_0','8_0',0
0007,'8_1_0','8_1',1
