GENE,Gt_node,Lt_node,Lt_paralog
0001,'16_5_0','16_5',5
0001,'10_5_0','10_5',5
0001,'9_6_0','9_6',6
0001,3,41,5
0001,4,43,5
0001,'14_7_0','14_7',7
0001,'14_5_0','14_5',5
0001,7,50,5
0001,'15_5_0','15_5',5
0001,9,51,5
0001,10,53,5
0001,'11_5_0','11_5',5
0001,12,54,5
0001,'1_1_0','1_1',1
0001,'2_1_0','2_1',1
0001,'3_1_0','3_1',1
0001,'5_1_0','5_1',1
0001,'6_1_0','6_1',1
0001,18,16,1
0001,19,19,1
0001,20,19,1
0001,'4_1_0','4_1',1
0001,22,21,1
0001,23,25,1
0001,'4_0_0','4_0',0
0001,'4_2_0','4_2',2
0001,26,9,0
0001,'2_0_0','2_0',0
0001,'5_0_0','5_0',0
0001,29,5,0
0001,30,10,0
0001,'1_0_0','1_0',0
0001,32,12,0
0001,33,26,0
0001,34,60,0
0002,'6_0_0','6_0',0
0002,'3_0_0','3_0',0
0002,'5_0_0','5_0',0
0002,'2_0_0','2_0',0
0002,4,6,0
0002,5,6,0
0002,6,6,0
0002,'4_0_0','4_0',0
0002,8,8,0
0003,'22_0_0','22_0',0
0003,'17_4_0','17_4',4
0003,'17_5_0','17_5',5
0003,3,21,0
0003,'11_0_0','11_0',0
0003,'13_0_0','13_0',0
0003,'21_0_0','21_0',0
0003,'24_0_0','24_0',0
0003,8,38,0
0003,9,44,0
0003,'23_0_0','23_0',0
0003,'23_6_0','23_6',6
0003,12,27,0
0003,'16_0_0','16_0',0
0003,'9_7_0','9_7',7
0003,'9_0_0','9_0',0
0003,16,32,0
0003,'10_0_0','10_0',0
0003,18,33,0
0003,19,34,0
0003,20,35,0
0003,21,45,0
0003,'20_0_0','20_0',0
0003,'25_0_0','25_0',0
0003,24,41,0
0003,25,45,0
0003,26,48,0
0003,27,49,0
0003,'7_0_0','7_0',0
0003,'12_0_0','12_0',0
0003,30,16,0
0003,31,50,0
0003,32,51,0
0003,'22_2_0','22_2',2
0003,'22_3_0','22_3',3
0003,35,54,2
0003,'12_2_0','12_2',2
0003,37,90,2
0003,'11_2_0','11_2',2
0003,'21_2_0','21_2',2
0003,'24_2_0','24_2',2
0003,41,65,2
0003,'24_8_0','24_8',8
